"Hand Axe", "axe", "", "hax", "hax", "hax", 0, -1, 3, 1, 3, 6, -1, -1, -1, -1, -1, -1, -1, -1, -1, 100, -1, -1, -1, 28, -1, 3, 0, 170, 4510, -1, -1, "hax", "hax", "9ha", "7ha", "1hs", "1hs", 5, "1hsl", 1, 3, -1, -1, -1, -1, "flphax", "invhax", "invhaxu", "invhaxu", 1, 2, 0, "", 0, "item_smallmetalweapon", 12, "item_smallmetalweapon", 0, 0, 5, 0, 0, 0, -1, -1, 35, 7, 0, 0, 3, -1, 1, -1, 1, 1, 1, 1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, -1, 1, 1, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "axe", "2ax", 1, 0
"Axe", "axe", "", "axe", "axe", "axe", 0, -1, 4, 1, 4, 11, -1, -1, -1, -1, -1, -1, -1, 1, 10, 100, -1, 32, -1, 24, -1, 7, 0, 403, 8821, -1, -1, "axe", "axe", "9ax", "7ax", "1hs", "1hs", 5, "1hsl", 2, 3, -1, -1, -1, -1, "flpaxe", "invaxe", "invaxeu", "invaxeu", 1, 4, 0, "", 0, "item_sword", 12, "item_sword", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 1, 1, 1, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "2ax", "mpi", 1, 0
"Double Axe", "axe", "", "2ax", "axe", "2ax", 0, -1, 4, 1, 5, 13, -1, -1, -1, -1, -1, -1, -1, 1, 10, 100, -1, 43, -1, 24, -1, 13, 0, 873, 20349, -1, -1, "axe", "2ax", "92a", "72a", "1hs", "1hs", 5, "1hsl", 2, 3, -1, -1, -1, -1, "flp2ax", "inv2ax", "", "", 1, 5, 0, "", 0, "item_sword", 12, "item_sword", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, -1, -1, 1, 1, 30, -1, -1, -1, -1, 255, 1, 1, -1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "mpi", "wax", 1, 0
"Military Pick", "axe", "", "mpi", "axe", "mpi", 0, -1, 4, 1, 7, 11, -1, -1, -1, -1, -1, -1, -1, 1, -10, 100, -1, 49, 33, 26, -1, 19, 0, 1421, 38999, -1, -1, "axe", "mpi", "9mp", "7mp", "1hs", "1hs", 5, "1hsl", 2, 3, -1, -1, -1, -1, "flpmpi", "invmpi", "invmpiu", "invmpiu", 1, 6, 0, "", 0, "item_sword", 12, "item_sword", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, 1, -1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, -1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "wax", "xxx", 1, 0
"War Axe", "axe", "", "wax", "hax", "wax", 0, -1, 4, 1, 10, 18, -1, -1, -1, -1, -1, -1, -1, 2, -1, 100, -1, 67, -1, 26, -1, 25, 0, 2123, 68075, -1, -1, "hax", "wax", "9wa", "7wa", "1hs", "1hs", 5, "1hsl", 2, 3, -1, -1, -1, -1, "flpwax", "invwax", "", "", 1, 6, 0, "", 0, "item_sword", 12, "item_sword", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 1, 3, 20, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "xxx", "xxx", 1, 0
"Large Axe", "axe", "", "lax", "lax", "lax", 0, -1, 4, 1, -1, -1, -1, 1, 6, 13, -1, -1, -1, 1, -10, 100, -1, 35, -1, 30, -1, 6, 0, 354, 7624, -1, -1, "lax", "lax", "9la", "7la", "stf", "stf", 5, "2hsl", 2, 3, -1, -1, -1, -1, "flplax", "invlax", "", "", 1, 4, 0, "", 0, "item_largemetalweapon", 12, "item_largemetalweapon", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, -1, 1, 1, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "btx", "gax", 1, 0
"Broad Axe ", "axe", "", "bax", "lax", "bax", 0, -1, 4, 1, -1, -1, -1, 1, 10, 18, -1, -1, -1, 1, -1, 100, -1, 48, -1, 35, -1, 12, 0, 806, 18172, -1, -1, "lax", "bax", "9ba", "7ba", "stf", "stf", 5, "2hsl", 2, 3, -1, -1, -1, -1, "flpbrx", "invbrx", "", "", 1, 5, 0, "", 0, "item_largemetalweapon", 12, "item_largemetalweapon", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 1, 1, 1, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "gax", "gix", 1, 0
"Battle Axe", "axe", "", "btx", "btx", "btx", 0, -1, 4, 1, -1, -1, -1, 1, 12, 32, -1, -1, -1, 1, 10, 100, -1, 54, -1, 40, -1, 17, 0, 1262, 32454, -1, -1, "lax", "btx", "9bt", "7bt", "stf", "stf", 5, "2hsl", 2, 3, -1, -1, -1, -1, "flpbtx", "invbtx", "invbtxu", "invbtxu", 1, 5, 0, "", 0, "item_largemetalweapon", 12, "item_largemetalweapon", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, -1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 5, 2, 0, "gix", "xxx", 1, 0
"Great Axe", "axe", "", "gax", "btx", "gax", 0, -1, 4, 1, -1, -1, -1, 1, 9, 30, -1, -1, -1, 2, -10, 100, -1, 63, 39, 50, -1, 23, 0, 1916, 58068, -1, -1, "lax", "gax", "9ga", "7ga", "stf", "stf", 5, "2hsl", 2, 4, -1, -1, -1, -1, "flpgax", "invgax", "invgaxu", "invgaxu", 1, 6, 0, "", 0, "item_largemetalweapon", 12, "item_largemetalweapon", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "xxx", "xxx", 1, 0
"Giant Axe", "axe", "", "gix", "gix", "gix", 0, -1, 4, 1, -1, -1, -1, 1, 22, 45, -1, -1, -1, 3, 10, 100, -1, 70, -1, 50, -1, 27, 0, 2410, 81070, -1, -1, "lax", "gix", "9gi", "7gi", "stf", "stf", 5, "2hsl", 2, 3, -1, -1, -1, -1, "flpgix", "invgix", "", "", 1, 6, 0, "", 0, "item_largemetalweapon", 12, "item_largemetalweapon", 0, 0, 5, 0, 0, 0, -1, -1, 0, 7, 0, 0, 3, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, 1, -1, -1, 20, -1, -1, -1, -1, 255, -1, -1, -1, 1, 1, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, 1, 1, 2, 2, 20, -1, -1, -1, -1, 255, 1, 1, 1, 1, 20, -1, -1, -1, -1, 255, -1, -1, -1, -1, 255, -1, -1, 2, 2, 0, "xxx", "xxx", 1, 0
